,Date,Open,Volume,cases,deaths,c_dif,d_dif,o_dif,sc,so
207,2020-11-13,1.65,2717800,10819442,244255,17845.0,218.0,-0.040000000000000036,1.0,-1.0
208,2020-11-16,1.8,3727300,11280224,246884,279286.0,1239.0,0.15000000000000013,1.0,1.0
209,2020-11-17,1.78,2846500,11441855,248491,-299151.0,-1022.0,-0.020000000000000018,-1.0,-1.0
210,2020-11-18,1.87,4325300,11614135,250415,10649.0,317.0,0.09000000000000008,1.0,1.0
211,2020-11-19,1.77,4226900,11801643,252376,15228.0,37.0,-0.10000000000000009,1.0,-1.0
212,2020-11-20,1.75,2264500,12000502,254333,11351.0,-4.0,-0.020000000000000018,1.0,-1.0
213,2020-11-23,1.77,10390700,12492852,257639,293491.0,1349.0,0.020000000000000018,1.0,1.0
214,2020-11-24,2.2,13073500,12670710,259848,-314492.0,-1097.0,0.43000000000000016,-1.0,1.0
215,2020-11-25,2.28,6468300,12851300,262161,2732.0,104.0,0.07999999999999963,1.0,1.0
216,2020-11-27,2.17,2109700,13160133,264751,128243.0,277.0,-0.10999999999999988,1.0,-1.0
217,2020-11-30,2.1,6039800,13615321,268031,146355.0,690.0,-0.06999999999999984,1.0,-1.0
218,2020-12-01,2.04,3931600,13799549,270639,-270960.0,-672.0,-0.06000000000000005,-1.0,-1.0
219,2020-12-02,1.97,5332900,14000721,273525,16944.0,278.0,-0.07000000000000006,1.0,-1.0
220,2020-12-03,2.1,4213600,14218459,276381,16566.0,-30.0,0.13000000000000012,1.0,1.0
221,2020-12-04,2.15,6272400,14449827,279018,13630.0,-219.0,0.04999999999999982,1.0,1.0
222,2020-12-07,2.18,3448200,15031979,283853,350784.0,2198.0,0.03000000000000025,1.0,1.0
223,2020-12-08,2.14,3018500,15251693,286674,-362438.0,-2014.0,-0.040000000000000036,-1.0,-1.0
224,2020-12-09,2.24,7701700,15471409,289830,2.0,335.0,0.10000000000000009,1.0,1.0
225,2020-12-10,2.18,23476900,15696634,292771,5509.0,-215.0,-0.06000000000000005,1.0,-1.0
226,2020-12-11,2.57,7705500,15977147,295726,55288.0,14.0,0.3899999999999997,1.0,1.0
227,2020-12-14,2.73,6576600,16569783,301016,312123.0,2335.0,0.16000000000000014,1.0,1.0
228,2020-12-15,2.56,4808300,16772936,304041,-389483.0,-2265.0,-0.16999999999999993,-1.0,-1.0
229,2020-12-16,2.61,2840700,17017763,307652,41674.0,586.0,0.04999999999999982,1.0,1.0
230,2020-12-17,2.58,2764900,17255472,310950,-7118.0,-313.0,-0.029999999999999805,-1.0,-1.0
231,2020-12-18,2.5,3185400,17506662,313820,13481.0,-428.0,-0.08000000000000007,1.0,-1.0
232,2020-12-21,2.28,3104200,18081996,319773,324144.0,3083.0,-0.2200000000000002,1.0,-1.0
233,2020-12-22,2.35,3225900,18283633,323012,-373697.0,-2714.0,0.07000000000000028,-1.0,1.0
234,2020-12-23,2.26,3636800,18511396,326424,26126.0,173.0,-0.0900000000000003,1.0,-1.0
235,2020-12-24,2.39,1381500,18704907,329248,-34252.0,-588.0,0.13000000000000034,-1.0,1.0
236,2020-12-28,2.33,2657200,19363798,335152,465380.0,3080.0,-0.06000000000000005,1.0,-1.0
237,2020-12-29,2.27,2749500,19564828,338780,-457861.0,-2276.0,-0.06000000000000005,-1.0,-1.0
238,2020-12-30,2.23,2441100,19793777,342588,27919.0,180.0,-0.040000000000000036,1.0,-1.0
239,2020-12-31,2.22,2467800,20024801,346050,2075.0,-346.0,-0.009999999999999787,1.0,-1.0
240,2021-01-04,2.21,2512500,20917269,353743,661444.0,4231.0,-0.010000000000000231,1.0,-1.0
241,2021-01-05,2.25,5572900,21152285,357432,-657452.0,-4004.0,0.040000000000000036,-1.0,1.0
242,2021-01-06,2.43,4025900,21408251,361396,20950.0,275.0,0.18000000000000016,1.0,1.0
243,2021-01-07,2.43,3181800,21688585,365509,24368.0,149.0,0.0,1.0,0.0
244,2021-01-08,2.42,2859800,21989362,369404,20443.0,-218.0,-0.010000000000000231,1.0,-1.0
245,2021-01-11,2.3,1758600,22675892,376488,385753.0,3189.0,-0.1200000000000001,1.0,-1.0
246,2021-01-12,2.48,4019800,22905869,380894,-456553.0,-2678.0,0.18000000000000016,-1.0,1.0
247,2021-01-13,2.63,3793600,23135194,384824,-652.0,-476.0,0.1499999999999999,-1.0,1.0
248,2021-01-14,2.51,3753800,23374716,388804,10197.0,50.0,-0.1200000000000001,1.0,-1.0
249,2021-01-15,2.49,3576200,23614569,392553,331.0,-231.0,-0.019999999999999574,1.0,-1.0
250,2021-01-19,2.44,2952600,24314933,401836,460511.0,5534.0,-0.050000000000000266,1.0,-1.0
251,2021-01-20,2.48,3041400,24500421,406216,-514876.0,-4903.0,0.040000000000000036,-1.0,1.0
252,2021-01-21,2.4,3344700,24690903,410351,4994.0,-245.0,-0.08000000000000007,1.0,-1.0
253,2021-01-22,2.22,2780100,24882468,414082,1083.0,-404.0,-0.17999999999999972,1.0,-1.0
254,2021-01-25,2.32,3782800,25336637,421126,262604.0,3313.0,0.09999999999999964,1.0,1.0
255,2021-01-26,2.46,3610400,25487275,425224,-303531.0,-2946.0,0.14000000000000012,-1.0,1.0
256,2021-01-27,2.4,10900400,25643045,429326,5132.0,4.0,-0.06000000000000005,1.0,-1.0
257,2021-01-28,2.71,5101300,25809220,433194,10405.0,-234.0,0.31000000000000005,1.0,1.0
258,2021-01-29,2.56,4816400,25973835,436794,-1560.0,-268.0,-0.1499999999999999,-1.0,-1.0
259,2021-02-01,2.47,2978700,26363284,443249,224834.0,2855.0,-0.08999999999999986,1.0,-1.0
260,2021-02-02,2.56,2762400,26478540,446860,-274193.0,-2844.0,0.08999999999999986,-1.0,1.0
261,2021-02-03,2.52,4402200,26598723,450703,4927.0,232.0,-0.040000000000000036,1.0,-1.0
262,2021-02-04,2.69,3241700,26724359,455820,5453.0,1274.0,0.16999999999999993,1.0,1.0
263,2021-02-05,2.72,4727600,26853860,459390,3865.0,-1547.0,0.03000000000000025,1.0,1.0
264,2021-02-08,2.87,6801200,27139070,464936,155709.0,1976.0,0.1499999999999999,1.0,1.0
265,2021-02-09,2.98,3531000,27235460,468106,-188820.0,-2376.0,0.10999999999999988,-1.0,1.0
266,2021-02-10,2.88,3435500,27330435,471360,-1415.0,84.0,-0.10000000000000009,-1.0,-1.0
267,2021-02-11,2.9,3035100,27436075,475238,10665.0,624.0,0.020000000000000018,1.0,1.0
268,2021-02-12,2.76,2161500,27535702,480701,-6013.0,1585.0,-0.14000000000000012,-1.0,-1.0
269,2021-02-16,2.98,4138200,27803946,487855,168617.0,1691.0,0.2200000000000002,1.0,1.0
270,2021-02-17,3.02,2470700,27874107,490326,-198083.0,-4683.0,0.040000000000000036,-1.0,1.0
271,2021-02-18,3.0,2503200,27945898,492951,1630.0,154.0,-0.020000000000000018,1.0,-1.0
272,2021-02-19,2.89,2229300,28023910,495572,6221.0,-4.0,-0.10999999999999988,1.0,-1.0
273,2021-02-22,2.97,5396900,28208276,500104,106354.0,1911.0,0.08000000000000007,1.0,1.0
274,2021-02-23,3.04,3950400,28280189,502432,-112453.0,-2204.0,0.06999999999999984,-1.0,1.0
275,2021-02-24,3.1,4241200,28354383,505642,2281.0,882.0,0.06000000000000005,1.0,1.0
276,2021-02-25,3.33,3693900,28432264,508107,3687.0,-745.0,0.22999999999999998,1.0,1.0
277,2021-02-26,3.28,4038100,28510582,510283,437.0,-289.0,-0.050000000000000266,1.0,-1.0
278,2021-03-01,3.38,2204800,28680857,514404,91957.0,1945.0,0.10000000000000009,1.0,1.0
279,2021-03-02,3.31,2013500,28738501,515710,-112631.0,-2815.0,-0.06999999999999984,-1.0,-1.0
280,2021-03-03,3.24,3759700,28805113,518079,8968.0,1063.0,-0.06999999999999984,1.0,-1.0
